plugin_file,line_num,original_jp,vietnamese
MessageSkipVoiceEndWait.js,57,${pluginName}: MessageSkip.js または SimpleVoice.js が見つかりません。,${pluginName}: Không tìm thấy MessageSkip.js hoặc SimpleVoice.js.
MessageWindowHidden.js,292,右クリック,Nhấp chuột phải
MNKR_SupponShopStockMZ.js,329,在庫数,Số lượng còn:
MNKR_SupponShopStockMZ.js,330,売り切れ,Hết hàng
MOG_TitleCommands_AlphaHit.js.js,48,${pluginName}: MOG_TitleCommands.js が見つかりません。,${pluginName}: Không tìm thấy MOG_TitleCommands.js.
MPP_ChoiceEX.js,680,条件エラー \n ,"Lỗi điều kiện 
  "
MPP_ChoiceEX.js,776,選択肢位置設定,Cài đặt vị trí lựa chọn
MPP_ChoiceEX.js,777,カーソル位置設定,Cài đặt vị trí con trỏ
MPP_ChoiceEX.js,778,選択肢サイズ設定,Cài đặt kích thước lựa chọn
MPP_ChoiceEX.js,779,メッセージ内表示,Hiển thị trong khung tin nhắn
PicturePointColor.js,155,プラグインコマンド PPC_GET_RGB の引数が不足しています,Thiếu tham số lệnh plugin PPC_GET_RGB
PicturePointColor.js,161,プラグインコマンド PPC_GET_RGB_DEC の引数が不足しています,Thiếu tham số lệnh plugin PPC_GET_RGB_DEC
SimpleVoiceMessageAdvanceStop.js,49,SimpleVoiceMessageAdvanceStop: SimpleVoice.js が見つかりません。,SimpleVoiceMessageAdvanceStop: Không tìm thấy SimpleVoice.js.
