original_jp,vietnamese
\N[1]は胸を使った攻撃に反撃した！,\N[1] đã phản công lại đòn tấn công bằng ngực!
\N[1]は脚に警戒して,\N[1] cảnh giác với chân
\N[1]は脚を使った攻撃に反撃した！,\N[1] đã phản công lại đòn tấn công bằng chân!
\N[1]は自分のちんこを,\N[1] đã tự dùng tay với con cu của mình
\N[1]は誘惑をはねのけた！,\N[1] đã cự tuyệt lời mời gọi!
\N[1]は遅い腰振りで我慢した！,\N[1] đã nhẫn nhịn bằng cách nhún eo chậm rãi!
\N[1]は面白い話で場を和ませた！,\N[1] đã làm dịu bầu không khí bằng một câu chuyện thú vị!
『ちゅーするの大好きぃ……♡』」,『Thích hôn lắm cơ……♡』」
『セックスごっこ』をしましょうか」,Chúng ta chơi 『Trò chơi làm tình』 nhé」
あげたいのに……」,Muốn cho anh mà……」
あなたのためですから」,Là vì anh thôi đó」
あなたの子種欲しいです♡」,Em muốn tinh chủng của anh♡」
あなたの方です」,Là phía anh đấy」
あなたは弱いんでしょう？」,Anh yếu ớt lắm đúng không?」
あなたを楽しませてあげましょう」,Em sẽ làm anh vui vẻ nhé」
ありません」,Không có đâu」
いいですよ」,Được thôi」
いかがでしょうか」,Như thế nào ạ」
いじめてあげますね」,Em sẽ bắt nạt anh nhé」
いじめてしまいましょう」,Cứ bắt nạt thôi nào」
いただきます。れろれろれろ……♡」,Em xin nhận. Liếm liếm liếm……♡」
いっぱい笑ってあげます」,Em sẽ cười thật nhiều cho anh xem」
いつも以上に丹念に舐められた！,Bị liếm tỉ mỉ hơn mọi khi!
いれなさい……♡」,Đưa vào đi……♡」
えっちさせてぇ……♡』」,Cho em làm chuyện hư đốn đi……♡』」
おきますからね」,Em sẽ để sẵn nhé」
おちんちんがてかてかです」,Con cu đang bóng loáng lên rồi」
おちんちんつらいでしょう？」,Con cu đang khổ sở lắm đúng không?」
おちんちんに媚びちゃう……♡』」,Đang nịnh nọt con cu đây……♡』」
おちんちんを優しくよしよし」,Nhẹ nhàng vỗ về con cu」
おちんちん届くかな？」,Con cu có chạm tới không nhỉ?」
おちんちん硬くしてください」,Hãy làm con cu cứng lên đi」
おっぱいからは逃がしませんよ」,Sẽ không để anh thoát khỏi bầu ngực đâu nhé」
おっぱい越しに伝わってきます」,Truyền qua cả bầu ngực luôn đấy」
おねだりした！,Đã vòi vĩnh!
おねだりとは、みじめですね」,"Vòi vĩnh thế này, thật thảm hại nhỉ」"
おまんこ味わいなさい」,Hãy thưởng thức cô bé đi」
おむつ代えのポーズでちゅか？」,Là tư thế thay tã sao nà?」
お漏らししちゃうぅ……♡」,Sắp rỉ nước ra mất rồi……♡」
お漏らしはだめですよ？」,Rỉ nước ra là không được đâu nhé?」
お精子を作ってください」,Hãy tạo tinh trùng đi」
お顔がとろけていますよ？」,Gương mặt đang chảy xệ ra kìa?」
お願いします……っ♡』」,Xin anh đấy……♡』」
かっこ悪……」,Khó coi quá……」
からかわれてしまった！,Bị trêu chọc mất rồi!
きっと気持ちいいでしょうね」,Chắc chắn là sướng lắm nhỉ」
ここが重たくなっていますよ」,Chỗ này đang nặng trĩu lên rồi nhé」
ここをマッサージしておきます」,Em sẽ massage chỗ này cho nhé」
こちらも本気で組み伏せますね♡」,Em cũng sẽ nghiêm túc đè anh xuống nhé♡」
こちらを愛してあげます」,Em sẽ yêu thương bên này nhé」
このばーか」,Đồ ngốc này」
この変態」,Đồ biến thái này」
こんなに愛液が溢れています……」,Dâm dịch tràn ra nhiều thế này……」
させてしまいますから」,Em sẽ làm cho anh như vậy đấy」
しかし、何とか耐えしのいだ！,"Nhưng, đã bằng cách nào đó chịu đựng được!"
しかし力負けして拘束から,Nhưng vì yếu sức hơn nên từ sự trói buộc
しかし拘束されていないので,Nhưng vì không bị trói buộc nên
しかし拘束は解除してもらえなかった！,Nhưng không được giải trừ trói buộc!
しごいてしまった！,Đã kích thích mất rồi!
しちゃいますね？」,Làm luôn nhé?」
しっかり分からせていきます」,Em sẽ dạy cho anh hiểu rõ」
しっかり勃起させなさい」,Hãy cương cứng hẳn lên đi」
しっかり視姦してください」,Hãy nhìn thấu em đi」
してあげます」,Em sẽ làm cho anh」
していなさい」,Cứ tiếp tục đi」
してください♡』」,Làm đi anh♡』」
してしまってもいいんですよ？」,Làm luôn cũng được đấy nhé?」
してるところ見られたいですよね？」,Anh muốn được nhìn thấy lúc đang làm đúng không?」
じゅるっ、ずろろ……♡」,"Chụt, rột rột……♡」"
じわじわ追い詰めるね？」,Dồn ép từ từ nhé?」
すぅ……はぁ……」,Hít…… hà……」
すぐイっちゃうからぁ……♡』」,Sẽ lên đỉnh ngay mất……♡』」
すぐ脚に垂れてしまいます……」,Sẽ chảy xuống chân ngay mất……」
そのままお楽しみください」,Cứ thế mà tận hưởng đi nhé」
たっぷりローションを塗りつけて,Thoa thật nhiều chất bôi trơn
たっぷり嗤ってあげる」,Em sẽ cười nhạo anh thật nhiều」
たっぷり愛してあげます……♡」,Em sẽ yêu thương anh thật nhiều……♡」
たっぷり犯してあげます」,Em sẽ làm tới bến luôn」
たまたまでちゅね」,Là tình cờ thôi nà」
たまらないですね」,Không thể chịu nổi nhỉ」
ちゅぅ……っ♡」,Chụt……♡」
ちゅっ……ん……♡」,Chụt…… ưm……♡」
ちゅぷっ、じゅるっ、ちゅぷっ♡」,"Chụt, chụt, chụt♡」"
ちんこに強く吸い付いて来た！,Đã mút chặt lấy con cu!
つぶしちゃいます」,Em sẽ nghiền nát đấy」
できなくしますから」,Em sẽ làm cho anh không thể làm được nữa」
とうとうできましたか♡」,Cuối cùng cũng làm được rồi sao♡」
とっておきましょう」,Hãy giữ lại nhé」
とっても弱そうですね」,Trông yếu ớt lắm nhỉ」
とても可愛く感じますね」,Cảm thấy thật đáng yêu nhỉ」
とても愛らしいですよ」,Rất đáng yêu đấy」
とろけてしまいますよ？」,Sẽ tan chảy mất đấy?」
ないないされちゃってますね」,Đã bị làm cho không còn gì rồi nhỉ」
なくなってしまいます……」,Sẽ biến mất luôn mất……」
なっちゃうかもしれませんね」,Có lẽ sẽ trở thành như vậy nhỉ」
なっていてください」,Hãy cứ như vậy đi」
なぶってあげます」,Em sẽ hành hạ anh」
なぶってあげますね」,Em sẽ hành hạ anh nhé」
なれていますか？」,Đã quen chưa?」
にゅっこにゅっこ……」,"Nhóp nhép, nhóp nhép……」"
はむっ、れろれろ……♡」,"Ngoạm, liếm liếm……♡」"
ぴゅっぴゅはおあずけです」,Việc bắn tinh tạm gác lại nhé」
ふー……っ♡」,Phù……♡」
ほーら、いっちゃえいっちゃえ」,"Nào, ra đi ra đi」"
まだまだ離してもらえなさそうだ！,Có vẻ vẫn chưa được buông tha đâu!
みたいですか？」,Muốn xem sao?」
もう許してぇ……♡』」,Tha cho em đi mà……♡』」
よがりすぎではありませんか？」,Anh rên rỉ quá nhiều rồi đấy?」
より強く固定されてしまった！,Đã bị giữ chặt hơn nữa!
れろれろ……」,Liếm liếm……」
んっ……♡」,Ưm……♡」
んっ、あぁぁ……っ♡』」,"Ưm, a a……♡』」"
んはぁっ……♡』」,Ư hà……♡』」
イっちゃってください」,Hãy lên đỉnh đi」
イメージを植え付けましょう」,Hãy cấy ghép hình ảnh vào nhé」
オナ禁してきましたか？」,Đã nhịn thủ dâm rồi đến đây sao?」
スキルが汚染された！,Kỹ năng đã bị nhiễm độc!
セラL「お顔でも匂いと感触を,Sera L「Cả khuôn mặt cũng cảm nhận mùi hương và xúc cảm
セラL「かりかりかりかり……」,Sera L「Cào cào cào cào……」
セラL「ここでお返事上手です。,Sera L「Trả lời ở đây thật giỏi.
セラL「じゅるるっ、れろ……♡」,"Sera L「Chụt chụt, liếm……♡」"
セラL「そちらがその気なら、,"Sera L「Nếu anh đã có ý đó,"
セラL「ちゅっ、じゅるる……ちゅっ♡」,"Sera L「Chụt, chụt chụt…… chụt♡」"
セラL「れろぉ……ちゅっ……♡」,Sera L「Liếm…… chụt……♡」
セラL「んっ、ちゅっ、じゅるる……♡」,"Sera L「Ưm, chụt, chụt chụt……♡」"
セラL「イけイけイけ……じゅるるっ♡」,"Sera L「Lên đỉnh đi, lên đỉnh đi, lên đỉnh đi…… chụt chụt♡」"
セラL「大きなおっぱいに囲まれて,Sera L「Được bao quanh bởi bầu ngực lớn
セラL「女たらしです」,Sera L「Đồ sát gái」
セラL「弱点を舌でくすぐられて,Sera L「Bị lưỡi cù vào điểm yếu
セラL「私がおちんちん舐めてるところ、,"Sera L「Cảnh em đang liếm con cu,"
セラL「耳を二人で挟み撃ちされると,Sera L「Bị hai người kẹp hai bên tai thì
セラL「腰を跳ねさせることさえ,Sera L「Ngay cả việc nhún eo
セラL「逃げ場はどこにもありませんよ」,Sera L「Không có chỗ nào để trốn đâu nhé」
セラR「おちんちんを取り囲んで,Sera R「Bao vây lấy con cu
セラR「しこしこしこしこ……」,"Sera R「Kích thích, kích thích……」"
セラR「じゅるるる……っ♡」,Sera R「Chụt chụt chụt……♡」
セラR「たっぷりの唾液で,Sera R「Với thật nhiều nước bọt
セラR「もっと強く押さえつけて,Sera R「Ấn chặt hơn nữa
セラR「れろっ、ちゅっ……♡」,"Sera R「Liếm, chụt……♡」"
セラR「れろれろ……精子出せ……♡」,Sera R「Liếm liếm…… bắn tinh ra đi……♡」
セラR「れろれろ、ちゅっ……♡」,"Sera R「Liếm liếm, chụt……♡」"
セラR「亀頭から舌の感触が取れなく,Sera R「Không thể dứt cảm giác của lưỡi khỏi quy đầu
セラR「二人がかりで押さえつけます」,Sera R「Cả hai người sẽ cùng đè anh xuống」
セラR「二人同時に口説くとは……」,Sera R「Tán tỉnh cả hai người cùng lúc sao……」
セラR「普段の二倍甘えていいですよ」,Sera R「Được phép nũng nịu gấp đôi bình thường đấy」
セラR「私のおまんこの味は,Sera R「Hương vị cô bé của em
セラR「足もしっかりご堪能ください」,Sera R「Hãy tận hưởng cả đôi chân nữa nhé」
セラ「0♡」,Sera「0♡」
セラ「1♡」,Sera「1♡」
セラ「2♡」,Sera「2♡」
セラ「3♡」,Sera「3♡」
セラ「4♡」,Sera「4♡」
セラ「……あなたのために熟考した,Sera「……Đã suy nghĩ kỹ lưỡng vì anh
セラ「……うるさい」,Sera「……Ồn ào quá」
セラ「『あ……っ、んっ……♡,"Sera「『A……, ưm……♡"
セラ「『あん♡　あんっ♡,Sera「『A♡ A♡
セラ「『おちんちんちゅこちゅこされるの,Sera「『Bị vuốt ve con cu
セラ「『おちんちん長いっ……んぅっ♡,Sera「『Con cu dài quá…… ưm♡
セラ「『おまんこが勝手に,Sera「『Cô bé tự động
セラ「『この格好いいおちんちんで,Sera「『Với con cu thật ngầu này
セラ「『それ効くっ……♡　無理っ……♡,Sera「『Cái đó sướng quá……♡ Không chịu nổi……♡
セラ「『ぱんぱんされるのやばいっ♡,Sera「『Bị dập bình bịch sướng quá đi♡
セラ「『もう出ちゃうっ♡　我慢むりっ♡,Sera「『Sắp ra mất rồi♡ Không nhịn nổi nữa♡
セラ「『もっと強く犯してぇ……♡』」,Sera「『Hãy làm em mạnh hơn nữa đi……♡』」
セラ「『やっ、だめっ♡,"Sera「『A, không được♡"
セラ「『セラさんのお尻エロすぎ……♡,Sera「『Mông của chị Sera dâm quá……♡
セラ「『出る出る出るっ♡,Sera「『Ra ra ra mất♡
セラ「『力で負けて,Sera「『Bị thua về sức lực
セラ「『奥だめっ、そこ弱点だからぁ……♡,"Sera「『Bên trong không được, chỗ đó là điểm yếu mà……♡"
セラ「『子宮口下りてきてっ、,"Sera「『Cửa tử cung hạ xuống rồi,"
セラ「『早く種付けしたい……♡,Sera「『Muốn nhanh chóng cấy giống……♡
セラ「『早く種付けしてあなたのものに,Sera「『Hãy mau cấy giống để biến em thành của anh
セラ「『精子ぴゅってしたいよぉ……♡,Sera「『Muốn bắn tinh trùng ra quá……♡
セラ「『精液全部中に注いでください♡,Sera「『Hãy rót toàn bộ tinh dịch vào trong em đi♡
セラ「あ、ん……っ♡」,"Sera「A, ưm……♡」"
セラ「あぁっ、私がイかせて,"Sera「A, em sẽ làm anh lên đỉnh"
セラ「あなたには遊び心というものが,Sera「Anh chẳng có chút tâm hồn vui chơi nào
セラ「あなたのおちんちんは女の子に,Sera「Con cu của anh bị con gái
セラ「あなたのが欲しくて、,"Sera「Em muốn của anh,"
セラ「あなたのこと、,"Sera「Việc của anh,"
セラ「あなたのこと、隅々までいじめて,Sera「Sẽ bắt nạt anh từ đầu đến chân
セラ「あなたの亀頭、おっぱいで,"Sera「Quy đầu của anh, bằng bầu ngực"
セラ「あなたの弱点、たくさん,"Sera「Điểm yếu của anh, rất nhiều"
セラ「あなたの弱点は全て把握しています」,Sera「Em đã nắm rõ toàn bộ điểm yếu của anh rồi」
セラ「あなたの表情も、,"Sera「Cả biểu cảm của anh nữa,"
セラ「あんあん、気持ちいいです～」,"Sera「A a, sướng quá～」"
セラ「あーあ、お姉ちゃんに,"Sera「Ôi trời, với chị thì"
セラ「いい加減にしないと,Sera「Nếu không biết chừng mực thì
セラ「いじめられすぎて,Sera「Bị bắt nạt nhiều quá
セラ「いたずらしちゃいますよ」,Sera「Em sẽ nghịch ngợm đấy nhé」
セラ「う……っ、演技する余裕が,"Sera「Ư……, không còn thong dong để diễn kịch nữa"
セラ「うぅ……好きすぎて,Sera「Ư…… thích quá
セラ「おちんちん、小さくて可愛い」,"Sera「Con cu, nhỏ bé và dễ thương」"
セラ「おちんちんがすっぽり隠れて,Sera「Con cu bị giấu nhẹm đi
セラ「おちんちんさんにご挨拶させて,Sera「Để em chào hỏi con cu nhé
セラ「おちんちんないないしちゃおっか」,Sera「Làm con cu biến mất luôn nhé」
セラ「おちんちんに直接触れない代わりに,Sera「Thay vì không chạm trực tiếp vào con cu
セラ「おちんちんをさらに限界まで,Sera「Làm con cu đến giới hạn hơn nữa
セラ「おちんちんを勃起させながら,Sera「Vừa làm con cu cương cứng
セラ「おちんちんを挟み,Sera「Kẹp con cu
セラ「おちんちんを挟んで、,"Sera「Kẹp con cu lại,"
セラ「おちんちんを谷間の中に,Sera「Cho con cu vào trong khe ngực
セラ「おちんちん突き出して、,"Sera「Thò con cu ra,"
セラ「おちんちん跳ねさせたって,Sera「Dù có làm con cu nảy lên
セラ「おっぱいでみっちりと拘束します」,Sera「Em sẽ trói chặt bằng bầu ngực」
セラ「おっぱいの圧強めて,Sera「Tăng áp lực của bầu ngực lên
セラ「おっぱいを上下に、にゅこにゅこ」,"Sera「Bầu ngực di chuyển lên xuống, chà chà」"
セラ「おっぱい美味しいですか？,Sera「Ngực có ngon không?
セラ「おっぱい飲んで大きくなろうね」,Sera「Bú sữa để mau lớn nhé」
セラ「おまんこと勘違いして,Sera「Nhầm tưởng là cô bé
セラ「お兄さんのおちんちん大きい……♡,Sera「Con cu của anh trai lớn quá……♡
セラ「お兄さんの乳首、ぴんって,"Sera「Đầu ngực của anh trai, cứng lên rồi"
セラ「お前がお漏らしするところ、,"Sera「Cảnh ngươi rỉ nước ra,"
セラ「お口の中、温かいですか？,"Sera「Bên trong miệng, có ấm không?"
セラ「お外でセックスするの,Sera「Làm chuyện ấy ở bên ngoài
セラ「お姉さんの膝の上においで？」,Sera「Lại đây ngồi lên đùi chị nào?」
セラ「お精子、おねだりしちゃいます。,Sera「Em sẽ vòi vĩnh tinh trùng đấy.
セラ「お顔踏まれて嬉しいんですね。,Sera「Bị giẫm lên mặt vui lắm nhỉ.
セラ「くす……おちんちんが震えて,Sera「Khì…… con cu đang run rẩy kìa
セラ「くす……弱っちい腰振りですね」,Sera「Khì…… nhún eo yếu ớt ghê nhỉ」
セラ「ぐっぽぐっぽ……じゅるる……♡」,Sera「Mút mút…… chụt chụt……♡」
セラ「こうしてこね回すと,Sera「Nhào nặn thế này thì
セラ「ここからはキャストとお客さんという,Sera「Từ đây sẽ là mối quan hệ giữa tiếp viên và khách hàng
セラ「ここに入れたら、温かくて,"Sera「Nếu đưa vào đây, sẽ ấm áp và"
セラ「ここの匂いもお好きですか？」,Sera「Anh cũng thích mùi ở đây sao?」
セラ「このお尻を見ながら射精する,Sera「Vừa nhìn cái mông này vừa xuất tinh
セラ「このぬるぬるおちんちん、,"Sera「Con cu nhớp nháp này,"
セラ「このむちむちした脚に,Sera「Đôi chân đầy đặn này
セラ「この体格差で負かして,Sera「Đánh bại anh với sự chênh lệch thể hình này
セラ「この変態。本当は負けたがってるの,Sera「Đồ biến thái này. Thực ra là muốn thua đúng không
セラ「この太ももを掴んで腰を,Sera「Nắm lấy đùi này rồi nhún eo
セラ「この水着だと、愛液が,"Sera「Với bộ đồ bơi này, dâm dịch sẽ"
セラ「この水着の魅力が伝わる,Sera「Sức hấp dẫn của bộ đồ bơi này sẽ được truyền tải
セラ「この胸の部分、めくって,"Sera「Phần ngực này, vạch ra"
セラ「こんな体勢でおちんちん硬くして,Sera「Với tư thế này mà con cu lại cứng lên
セラ「ご自身でしごきやすよう、,"Sera「Để anh dễ tự vuốt ve,"
セラ「さっさとイけよ変態」,Sera「Mau lên đỉnh đi đồ biến thái」
セラ「しこしこしこしこ……」,Sera「Kích thích kích thích kích thích……」
セラ「じっくりとオナホの感触を,Sera「Hãy từ từ cảm nhận onahole
セラ「じゃあ、あなたのおちんちん、,"Sera「Vậy thì, con cu của anh,"
セラ「すぅ、はぁ……」,"Sera「Hít, hà……」"
セラ「ずっとここを見てるの,Sera「Cứ nhìn chằm chằm vào đây
セラ「せっかく裸ですから、ここも,"Sera「Đã cất công khỏa thân rồi, nên chỗ này cũng"
セラ「そうですか。では、,"Sera「Vậy à. Thế thì,"
セラ「そうですか。残念です」,Sera「Vậy à. Thật đáng tiếc」
セラ「そうですよ、そのまま,"Sera「Đúng rồi, cứ như vậy"
セラ「そっか。じゃあ手加減パイズリで,Sera「Vậy à. Thế thì kẹp ngực nương tay nhé
セラ「そのままあなたの子種、,"Sera「Cứ như vậy tinh trùng của anh,"
セラ「そのまま誘惑に負けて,Sera「Cứ thế thua trước sự cám dỗ
セラ「そのむらむらを解放したら,Sera「Nếu giải phóng sự rạo rực đó
セラ「そんなことを言ったって今は,Sera「Dù có nói vậy thì bây giờ
セラ「そんなにおちんちんを跳ねさせても,Sera「Dù có làm con cu nảy lên như thế
セラ「そんなにおねだりするなんて,Sera「Vòi vĩnh đến mức đó
セラ「そんなに誘惑しなくても、,"Sera「Dù không quyến rũ đến thế,"
セラ「ちゃんとお店に来る前に,Sera「Trước khi đến quán phải đàng hoàng
セラ「ちゅっ……んっ……♡,Sera「Chụt…… ưm……♡
セラ「ちゅっ、じゅるる……♡,"Sera「Chụt, chụt chụt……♡"
セラ「つらそうですね。くす……♡」,Sera「Trông có vẻ khổ sở nhỉ. Khì……♡」
セラ「つるつるで可愛い,Sera「Nhẵn nhụi dễ thương
セラ「では、失礼します」,"Sera「Vậy, em xin phép」"
セラ「でも今から、さらに大好きに,"Sera「Nhưng từ giờ, sẽ còn thích hơn nữa"
セラ「とっても気持ちよさそうな,Sera「Trông có vẻ rất sướng
セラ「どちらの立場が上か、脳みそに,"Sera「Vị trí của ai cao hơn, hãy khắc vào não đi"
セラ「にゅこにゅこ、ちゅこちゅこ……」,"Sera「Chà chà, vuốt vuốt……」"
セラ「ねぇ、セックスしましょう……？,"Sera「Này, làm chuyện ấy nhé……?"
セラ「はぁはぁしてんじゃねーよ、,"Sera「Đừng có thở dốc như thế,"
セラ「はい、おっぱいの時間でちゅよ」,"Sera「Nào, đến giờ bú sữa rồi nà」"
セラ「はい、寸止め。,"Sera「Rồi, dừng ngay trước lúc xuất."
セラ「ぱんぱんと小気味良い音で,Sera「Với âm thanh dập bình bịch sướng tai
セラ「ひっかきやすくて,Sera「Dễ cào cấu
セラ「ほら、おもちゃの中で,"Sera「Nào, ở trong món đồ chơi"
セラ「ほら、カリ首いじめでイけイけ……」,"Sera「Nào, bị bắt nạt quy đầu thì lên đỉnh đi……」"
セラ「ほら、弱点責められるの,"Sera「Nào, bị công kích điểm yếu"
セラ「ほら、指を胸に沈ませてください」,"Sera「Nào, hãy vùi ngón tay vào ngực đi」"
セラ「ほら、足の下で深呼吸でも,"Sera「Nào, hít thở sâu dưới chân em đi"
セラ「ほーら、しこしこしこ……」,"Sera「Nào, kích thích kích thích……」"
セラ「まだおねだりするなんて、,"Sera「Vẫn còn vòi vĩnh cơ à,"
セラ「むぅ……つまらないです」,Sera「Ưm…… chán quá」
セラ「もう……。お姉さんらしく,Sera「Thật là……. Phải ra dáng người lớn
セラ「もう我慢ならないですよね？,Sera「Hết nhịn nổi rồi đúng không?
セラ「もっといちゃいちゃしましょう？」,Sera「Cùng âu yếm nhau nhiều hơn nhé?」
セラ「もっとギリギリまで精液を,Sera「Đưa tinh dịch đến sát giới hạn hơn nữa
セラ「もっと奥まで、んっ……♡,"Sera「Sâu hơn nữa đi, ưm……♡"
セラ「もっと密着してママに甘えて？」,Sera「Dán sát hơn nữa và nũng nịu với mẹ đi?」
セラ「もっと見下すような体勢で,Sera「Với tư thế nhìn xuống hơn nữa
セラ「もっと近くでお前のこと,Sera「Lại gần hơn nữa để ta
セラ「やっ……だめっ……♡,Sera「A…… không được……♡
セラ「やっぱりだめです。イくな」,Sera「Quả nhiên là không được. Không được lên đỉnh」
セラ「よだれ垂らして無様な顔……」,"Sera「Chảy cả nước dãi, khuôn mặt thật khó coi……」"
セラ「よちよち、いい子だね」,"Sera「Ngoan nào ngoan nào, bé ngoan」"
セラ「より臨場感を出すために、,"Sera「Để mang lại cảm giác chân thực hơn,"
セラ「れろれろ……ちゅぷっ……♡」,Sera「Liếm liếm…… chụt……♡」
セラ「れろれろれろ……♡」,Sera「Liếm liếm liếm……♡」
セラ「わがまま言って可愛いでちゅね」,Sera「Nói lời ích kỷ dễ thương ghê nà」
セラ「ん……っ♡　中で,Sera「Ưm……♡ Ở bên trong
セラ「んっ……ふっ……♡,Sera「Ưm…… phu……♡
セラ「ウサギだからと言って,Sera「Nói là thỏ nên
セラ「オナホでにゅこにゅこ、,"Sera「Dùng onahole chà chà,"
セラ「オナホでの搾精に適した,Sera「Thích hợp để vắt tinh bằng onahole
セラ「オナホにコキ捨てるための,Sera「Để xả vào onahole
セラ「カリ首を中でたっぷり,Sera「Quy đầu ở bên trong thật nhiều
セラ「ストップ。寸止めです」,Sera「Dừng lại. Dừng ngay trước lúc xuất」
セラ「セックスの真似事で興奮して,Sera「Phấn khích vì trò bắt chước làm chuyện ấy
セラ「デート中も視姦できるよう、,"Sera「Để có thể nhìn trộm ngay cả khi đang hẹn hò,"
セラ「バニーさんの魅惑の胸元で,Sera「Bằng khe ngực quyến rũ của cô thỏ
セラ「ピストンお上手ですよ」,Sera「Anh nhấp giỏi lắm đấy」
セラ「マゾいじめされても射精は我慢です」,Sera「Dù bị bắt nạt khổ dâm cũng phải nhịn xuất tinh nhé」
セラ「マゾさんはセックスごっこ,Sera「Đồ khổ dâm thì chơi trò làm chuyện ấy
セラ「マゾには足で充分でしょ？」,Sera「Với đồ khổ dâm thì dùng chân là đủ rồi đúng không?」
セラ「ママが抱きしめてあげまちゅね」,Sera「Để mẹ ôm con nà」
セラ「ママとちゅーしましょうね」,Sera「Cùng hôn mẹ nào」
セラ「ママのお膝に甘えまちゅか？」,Sera「Muốn nũng nịu trên đùi mẹ không nà?」
セラ「ママの中でお漏らしできるかな？」,Sera「Có thể rỉ nước ra trong mẹ được không nhỉ?」
セラ「ママの代わりにお姉さんに,"Sera「Thay vì mẹ, với chị thì"
セラ「ミニスカートの下、,"Sera「Bên dưới chiếc váy ngắn,"
セラ「ローションのぬるぬると,Sera「Với sự nhớp nháp của chất bôi trơn
セラ「一部集中コースに,Sera「Khóa học tập trung một phần
セラ「上から下まで全部,Sera「Từ trên xuống dưới toàn bộ
セラ「両方同時に、かりかりかり……」,"Sera「Cả hai bên cùng lúc, cào cào cào……」"
セラ「乳首責めはマゾに,Sera「Tấn công đầu ngực với đồ khổ dâm
セラ「亀さんよしよし……」,Sera「Bé rùa ngoan ngoãn……」
セラ「亀頭だけしか挟んでいないのに,Sera「Dù chỉ kẹp mỗi quy đầu thôi mà
セラ「互い違いに、ずりずり……」,"Sera「Đan xen nhau, cọ cọ……」"
セラ「今から可愛い姿を晒すのは,Sera「Từ giờ sẽ phơi bày bộ dạng dễ thương
セラ「今は、上手く力が入らなくて……」,"Sera「Bây giờ, không thể dùng lực tốt được……」"
セラ「今日はじっくりとおちんちんを,Sera「Hôm nay sẽ từ từ làm con cu
セラ「今日は厳しめにいきますから」,Sera「Hôm nay em sẽ nghiêm khắc đấy nhé」
セラ「体重をかけて、立場を,"Sera「Dồn trọng lượng, để vị trí"
セラ「催眠にかかりやすいようにえっちの,Sera「Để dễ bị thôi miên nên chuyện ấy
セラ「催眠魔法は繊細ですから、,"Sera「Vì ma pháp thôi miên rất tinh tế nên,"
セラ「僕くんのお手てじゃおっぱいが,Sera「Với bàn tay của bé ngoan thì bầu ngực
セラ「冷たい足裏の下でおちんちんが,"Sera「Dưới lòng bàn chân lạnh lẽo, con cu"
セラ「冷たく煽られて勃起するなんて,Sera「Bị lạnh lùng khiêu khích mà lại cương cứng
セラ「別にあなたのためでは,Sera「Không phải là vì anh đâu
セラ「別にあなたのためではありません」,Sera「Không phải là vì anh đâu」
セラ「勝者をねぎらって差し上げましょう。,Sera「Em sẽ khao thưởng người chiến thắng nhé.
セラ「君の小さいおちんちんじゃ,Sera「Với con cu nhỏ bé của anh thì
セラ「唾液を塗りたくります。,Sera「Em sẽ bôi đầy nước bọt.
セラ「大人しくバニー姿の私で,Sera「Hãy ngoan ngoãn với bộ dạng cô thỏ của em
セラ「大切な場所を足蹴にされて,Sera「Bị giẫm lên chỗ quan trọng
セラ「太ももの反対側まで,Sera「Đến tận phía bên kia đùi
セラ「太ももの間でびくびくして,Sera「Run rẩy giữa hai đùi
セラ「太陽光で熱くなった耳を,Sera「Đôi tai nóng lên vì ánh nắng
セラ「好き……好きです……♡,Sera「Thích…… em thích anh……♡
セラ「好きっ♡　好きです♡,Sera「Thích♡ Em thích anh♡
セラ「子種の生産を助けるために,Sera「Để giúp sản xuất tinh trùng
セラ「寸止めされた可哀そうなお精子で,Sera「Với những tinh trùng đáng thương bị dừng ngay trước lúc xuất
セラ「射精しそうでドキドキしてるの、,"Sera「Tim đập thình thịch vì sắp xuất tinh,"
セラ「射精我慢ゲームは,Sera「Trò chơi nhịn xuất tinh thì
セラ「少し息を整えます。,Sera「Để em điều hòa nhịp thở một chút.
セラ「弱いオスに相応しい格好に,Sera「Trở thành bộ dạng phù hợp với con đực yếu ớt
セラ「強めに挟んで立場を,Sera「Kẹp mạnh hơn để vị trí
セラ「強制的にムラムラさせてあげます」,Sera「Em sẽ cưỡng chế làm anh rạo rực nhé」
セラ「心まで屈服できるように,Sera「Để có thể khuất phục đến tận tâm trí
セラ「必死に腰を振って可愛いです……♡」,Sera「Tuyệt vọng nhún eo dễ thương ghê……♡」
セラ「恋する乙女は美しいので」,Sera「Vì thiếu nữ đang yêu rất xinh đẹp mà」
セラ「情けなくちんちん差し出せ」,Sera「Hãy thảm hại chìa con cu ra đây」
セラ「我慢汁が垂れているので,Sera「Vì dâm dịch đang chảy ra nên
セラ「敗北射精するための精子、,"Sera「Tinh trùng để xuất tinh trong thất bại,"
セラ「早く白いの漏らして,Sera「Mau rỉ chất màu trắng ra đi
セラ「期待でおちんちん膨らんでますよ？」,Sera「Con cu đang phồng lên vì mong đợi đấy?」
セラ「本気手コキされても,Sera「Dù có bị quay tay nghiêm túc
セラ「柔らかさに包まれたまま,Sera「Cứ được bao bọc trong sự mềm mại
セラ「椅子にしてあげるから,Sera「Em sẽ biến anh thành ghế nên
セラ「濃いのたくさん作ってください……♡,Sera「Hãy tạo thật nhiều tinh dịch đặc nhé……♡
